bank_txn_id,txn_date,value_date,txn_timestamp_utc,transaction_type,narration,ref_no,debit,credit,balance
BNK000000,04/06/2026,04/06/2026,2026-06-04T16:24:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-1XN-PART1OF1-CITIN26060229663500-CITIN26060454312703,RZP-GROUP-1N-01,,402686.68,652686.68
BNK000001,08/06/2026,08/06/2026,2026-06-08T10:35:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-1XN-PART1OF1-CITIN26060465680222-CITIN26060811570728,RZP-GROUP-1N-02,,415382.56,1068069.24
BNK000002,08/06/2026,08/06/2026,2026-06-08T11:46:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-1XN-PART1OF1-CITIN26060841970027-CITIN26060828900661,RZP-GROUP-1N-03,,301583.13,1369652.37
BNK000003,09/06/2026,09/06/2026,2026-06-09T14:01:00+00:00,OPERATING_CREDIT,IMPS-CB08200001-NORTHSTAR MARKETPLACE,CB08200001,,51619.00,1421271.37
BNK000004,09/06/2026,09/06/2026,2026-06-09T14:18:00+00:00,OPERATING_CREDIT,IMPS-CB08200001-NORTHSTAR MARKETPLACE,CB08200001,,51619.00,1472890.37
BNK000005,10/06/2026,10/06/2026,2026-06-10T12:57:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-1XN-PART1OF1-CITIN26060990815482-CITIN26061055562066,RZP-GROUP-1N-04,,562986.46,2035876.83
BNK000006,12/06/2026,12/06/2026,2026-06-12T13:08:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-1XN-PART1OF1-CITIN26061031144202-CITIN26061246198870,RZP-GROUP-1N-05,,247408.23,2283285.06
BNK000007,13/06/2026,13/06/2026,2026-06-13T14:05:00+00:00,OPERATING_DEBIT,NEFT-CB08200005-NIMBUS LOGISTICS,CB08200005,42955.00,,2240330.06
BNK000008,13/06/2026,13/06/2026,2026-06-13T14:22:00+00:00,OPERATING_DEBIT,NEFT-CB08200005-NIMBUS LOGISTICS,CB08200005,42955.00,,2197375.06
BNK000009,15/06/2026,15/06/2026,2026-06-15T14:19:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-1XN-PART1OF1-CITIN26061571369350-CITIN26061571111109,RZP-GROUP-1N-06,,458733.56,2656108.62
BNK000010,16/06/2026,16/06/2026,2026-06-16T15:30:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-1XN-PART1OF1-CITIN26061618513121-CITIN26061654927124,RZP-GROUP-1N-07,,352434.28,3008542.90
BNK000011,18/06/2026,18/06/2026,2026-06-18T10:01:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,NEFT-CITIN26061838-,RZP-11-setl_8fyCkNhhJEhjAV,,175798.60,3184341.50
BNK000012,18/06/2026,18/06/2026,2026-06-18T16:41:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-1XN-PART1OF1-CITIN26061610099382-CITIN26061814307588,RZP-GROUP-1N-08,,399531.72,3583873.22
BNK000013,20/06/2026,20/06/2026,2026-06-20T14:02:00+00:00,OPERATING_CREDIT,IMPS-CB08200002-ACME RETAIL PARTNER,CB08200002,,32611.00,3616484.22
BNK000014,22/06/2026,22/06/2026,2026-06-22T10:52:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-1XN-PART1OF1-CITIN26062264945980-CITIN26062273256015,RZP-GROUP-1N-09,,471928.42,4088412.64
