id,amount,currency,payment_id,notes,receipt,created_at,contact,email,arn
rfnd_OGDVBZdP8MfMqP,3070.00,INR,pay_3W1247zh6zVGYg,"{""refund_reason"": ""duplicate_order""}",,17/06/2026 00:00:00,,,541918364501
rfnd_DrxFR8Nbnxyk7g,11473.00,INR,pay_NwjIXnSDsQ7XUY,"{""refund_reason"": ""quality_issue""}",,2026-15-06 07:13:29,,,231716077297
rfnd_L8kRK3qci33JoQ,3356.88,INR,pay_srWo8eDujNulZo,"{""refund_reason"": ""quality_issue""}",,2026-06-09 14:26:58,,,347330679661
rfnd_hIcV1jTCDmOcKC,4745.00,INR,pay_i42uYIWZaksAc9,"{""refund_reason"": ""quality_issue""}",,2026-06-07 21:39:27,,,863520309134
rfnd_fYw8dGkACN26Cd,4478.50,INR,pay_gXA2udPh4w9hta,"{""refund_reason"": ""quality_issue""}",,2026-06-09 04:52:56,,,131921484607
rfnd_rl4SqY17nTpD88,2847.00,INR,pay_ooyjaUwNIwc4C9,"{""refund_reason"": ""customer_request""}",,11/06/2026 11:05:25,,,314812650234
rfnd_bBCIWu1nsL25Np,8173.00,INR,pay_uOuAwDKoTSFfYV,"{""refund_reason"": ""item_out_of_stock""}",,2026-06-20 18:18:54,,,360178850607
rfnd_piBA9ioqd1630c,4434.00,INR,pay_fxXvRH4msoxrhk,"{""refund_reason"": ""quality_issue""}",,13/06/2026 01:31:23,,,408074546221
rfnd_eHVlLB5o7NBNCt,973.13,INR,pay_DPaACwjR55nbAt,"{""refund_reason"": ""customer_request""}",,23/06/2026 08:44:52,,,420147843249
rfnd_WQGtvT4qX5wyiV,1082.50,INR,pay_vkdfIJQMLRevc9,"{""refund_reason"": ""duplicate_order""}",,2026-06-16 15:57:21,,,684024618167
rfnd_Fbq3PtCkJtW0t9,273.63,INR,pay_K5eSGQCaAPkFYK,"{""refund_reason"": ""customer_request""}",,2026-26-06 22:10:50,,,289204886810
rfnd_GoDAD9LSrs5DuN,18531.50,INR,pay_B1L27bdN9Jc2N2,"{""refund_reason"": ""item_out_of_stock""}",,2026-06-14 05:23:19,,,269866624660
rfnd_6vrlETc6pSNC1o,882.50,INR,pay_dyTxGpBjaAyO7s,"{""refund_reason"": ""item_out_of_stock""}",,17/06/2026 12:36:48,,,814749420862
