transaction_entity,entity_id,amount,currency,fee (exclusive tax),tax,debit,credit,payment_method,card_type,issuer_name,entity_created_at,payment_captured_at,payment_notes,refund_notes,arn,entity_description,order_id,order_receipt,order_notes,dispute_id,dispute_created_at,dispute_reason,settlement_id,settled_at,settlement_utr,settled_by
payment,pay_D80POPAt0iIDMM,6490.00,INR,77.88,14.02,0.00,6398.10,card,debit,SBIN,01/06/2026 07:13:29,2026-06-01 07:13:29,[],,,,order_YWMuVUEW5SsEZk,rcpt-36031,[],,,,setl_2ybSd4d7inlUpZ,2026-06-02 07:13:29,CITIN26060229663500,Razorpay
payment,pay_vMwJgHNlcAlHXJ,4090.50,INR,49.09,8.84,0.00,4032.57,card,debit,KKBK,2026-06-01 14:26:58,2026-06-01 14:26:58,[],,,,order_itk7gpIC35mbDR,rcpt-34649,[],,,,setl_2ybSd4d7inlUpZ,2026-06-02 14:26:58,CITIN26060229663500,Razorpay
payment,pay_DD19JJdE6GkOg6,23664.50,INR,473.29,85.19,0.00,23106.02,upi,,,2026-06-01 21:39:27,2026-06-01 21:39:27,[],,,,order_NLnvKtDrIhUZsY,rcpt-15965,[],,,,setl_2ybSd4d7inlUpZ,2026-06-02 21:39:27,CITIN26060229663500,Razorpay
payment,pay_G1Lbnwa9Fbdtwx,19544.00,INR,390.88,70.36,0.00,19082.76,upi,,,2026-06-01 04:52:56,2026-06-01 04:52:56,[],,,,order_zfoCneSqMaICLU,rcpt-60089,[],,,,setl_2ybSd4d7inlUpZ,2026-06-02 04:52:56,CITIN26060229663500,Razorpay
payment,pay_2Y7hNwD3EXGTgM,328.00,INR,6.56,1.18,0.00,320.26,upi,,,2026-06-01 11:05:25,46174.46209490741,[],,,,order_9YIL8HWKhYlQYR,rcpt-29893,[],,,,setl_2ybSd4d7inlUpZ,2026-06-02 11:05:25,CITIN26060229663500,Razorpay
payment,pay_EYOkfeoEvi2wDX,5335.00,INR,106.70,19.21,0.00,5209.09,upi,,,2026-06-01 18:18:54,01/06/2026 18:18:54,[],,,,order_WHuiURde0kiQoE,rcpt-37063,[],,,,setl_2ybSd4d7inlUpZ,02/06/2026 18:18:54,CITIN26060229663500,Razorpay
payment,pay_4l8YAueCP4BwtK,3369.00,INR,67.38,12.13,0.00,3289.49,upi,,,46174.06346064815,01/06/2026 01:31:23,[],,,,order_qjwS2jS7MoEQsp,rcpt-17166,[],,,,setl_2ybSd4d7inlUpZ,2026-06-02 01:31:23,CITIN26060229663500,Razorpay
payment,pay_hgvhqXuC2TdA29,24285.50,INR,485.71,87.43,0.00,23712.36,upi,,,2026-06-01 08:44:52,2026-06-01 08:44:52,[],,,,order_pUG2slxDrrHtD2,rcpt-27929,[],,,,setl_2ybSd4d7inlUpZ,02/06/2026 08:44:52,CITIN26060229663500,Razorpay
payment,pay_5SllD6CugxAYgR,20549.00,INR,410.98,73.98,0.00,20064.04,upi,,,01/06/2026 15:57:21,01/06/2026 15:57:21,[],,,,order_YSTum7cIrAvPBx,rcpt-59193,[],,,,setl_2ybSd4d7inlUpZ,2026-02-06 15:57:21,CITIN26060229663500,Razorpay
payment,pay_duVqMsUp4mj5sq,2841.50,INR,56.83,10.23,0.00,2774.44,upi,,,2026-06-01 22:10:50,2026-06-01 22:10:50,[],,,,order_ToYLurfqZ52VYb,rcpt-82558,[],,,,setl_2ybSd4d7inlUpZ,2026-06-02 22:10:50,CITIN26060229663500,Razorpay
