id,amount,amount_paid,amount_due,currency,receipt,offer_id,status,attempts,notes,created_at
order_JpBNrbnn239zXK,12.00,0,12.00,INR,,,attempted,2.0,[],04/07/2022 11:31:23
order_JsQh2C64xoedWt,1.00,0,1.00,INR,123,,created,0.0,"{""key1"": ""value3"", ""key2"": ""value2""}",12/07/2022 16:26:56
order_JsQhyuNTVNqcFA,1.00,0,1.00,INR,123,,created,0.0,"{""key1"": ""value3"", ""key2"": ""value2""}",12/07/2022 16:27:50
order_JyPqUinN701S8Z,10.00,0,10.00,INR,,,created,0.0,[],27/07/2022 19:31:12
order_JyiOtD0yDgkiEm,10.00,0,10.00,INR,receipt#121,,created,0.0,[],28/07/2022 13:40:15
order_JyiSVSGXeduAIx,10.00,0,10.00,INR,receipt#121,,created,0.0,[],28/07/2022 13:43:40
order_JyiVIj8doP2okJ,10.00,0,10.00,INR,receipt#121,,created,0.0,[],28/07/2022 13:46:19
order_JykXujghZ90pg4,1.00,0,1.00,INR,Receipt No. 1,,created,0.0,"{""notes_key_1"": ""Tea, Earl Grey, Hot"", ""notes_key_2"": ""Tea, Earl Grey… decaf.""}",28/07/2022 15:46:11
order_JyntT2qoP6HuEk,5.00,0,5.00,INR,,,created,0.0,[],28/07/2022 19:02:40
order_JyoI2tN2ZfHW3i,1.00,0,1.00,INR,receipt #123,,created,0.0,[],28/07/2022 19:25:56
order_JyoIW8pWLmnX8m,1.00,0,1.00,INR,receipt #123,,created,0.0,[],28/07/2022 19:26:23
order_JyoJCHGsdmq17W,1.00,0,1.00,INR,receipt #123,,created,0.0,[],28/07/2022 19:27:01
order_JyoJOZGdcS2xJi,1.00,0,1.00,INR,receipt #123,,created,0.0,[],28/07/2022 19:27:13
order_JyoXtQFKXGB5xz,1.00,0,1.00,INR,receipt #123,,created,0.0,[],28/07/2022 19:40:56
